전경련BSI,주택매매가격,건설BSI(전망),"실업률(계절조정,%)",어음부도율,일별수출액YoY,내국인출국자수YoY,코스피 200 변동성지수,통안채 364일,공사채 AAA 3년,은행채 AAA 3년,국고채5년 - CD,국고채10년 - 통안채1년,은행채AAA3년 - 국고채3년,회사채AA-3년 - 국고채3년,내국인출국자수,한국(OECD),GDP서비스업,설비투자,건설투자,재화수출,내수,GDP디플레이터,총저축률,총투자율,Reuter CRB(EW)상품선물지수,Reuter CRB(EW)에너지지수,Reuter CRB(EW)산업지수,Reuter CRB(EW)귀금속지수,코스피지수
105.1,71.18,73.8,3.7,0.03,14.23,19.08,16.88,4.38,4.4,4.4,0.9,0.73,0.17,0.3,996144,4.49,1.2,-0.1,-0.3,4.2,2.2,0.6,33.8,32.8,333.3,643.8,276,431.1,970.2
96.5,71.16,64.9,4,0.03,12.98,22.78,21.12,4.46,4.35,4.37,1.27,1.03,0.21,0.31,715085,4.71,1.2,-0.1,4.2,3.9,2.2,0.9,33.4,32.8,326.7,549.4,281,432.8,1008.2
91.7,71.16,72.7,3.9,0.06,17.9,14.6,23.82,4.62,4.85,4.88,1.43,1.07,0.28,0.37,773642,4.97,1.5,0.5,4.2,3.9,0.7,0.9,33.4,32.9,332.5,520.4,289.5,463,1111.3
111.4,71.29,85.2,3.6,0.03,9.86,16.17,25.85,4.67,5.24,5.26,1.27,0.95,0.31,0.46,711363,5.26,1.5,0.5,4.2,3.9,0.7,0.9,33.4,32.9,347.9,564,302.5,478.1,1083.3
110.2,71.53,64.6,3.5,0.02,16.84,16.35,23.38,4.59,5.37,5.4,0.98,0.85,0.3,0.46,712597,5.52,1.5,0.5,-1.8,2.1,0.7,0.8,33.4,32.9,363.3,607.6,323.6,531.4,1221
107.8,71.86,70,3.4,0.02,11.92,12.79,19.44,4.56,5.32,5.34,0.79,0.69,0.26,0.47,909551,5.72,1.1,5.3,-1.8,2.1,1,0.8,33.4,32.3,353.3,551,318.2,521.7,1158.1
103.8,72.32,94.4,3.5,0.02,10.49,5.21,21.57,4.56,5.12,5.15,0.86,0.88,0.23,0.4,877868,5.78,1.1,5.3,-1.8,2.1,1,0.8,33.4,32.3,361.9,609.3,330.9,558.7,1297.4
102.6,72.96,115.7,3.5,0.02,5.88,9.18,19.9,4.6,5.06,5.08,0.62,0.65,0.18,0.34,748472,5.68,1.1,5.3,-1.6,4.3,1,-0.6,32.9,32.3,379.5,660.8,378.9,631.2,1379.4
102.4,73.7,93.1,3.4,0.02,0.7,10.36,18.19,4.54,5.04,5.04,0.51,0.61,0.11,0.25,780689,5.44,1.2,-0.7,-1.6,4.3,1,-0.6,32.9,33.8,379.8,653.8,402.3,627.1,1399.8
118.9,74.05,80.9,3.3,0.02,12.06,28.97,17.98,4.82,4.95,4.95,0.45,0.38,0.14,0.25,827406,5.13,1.2,-0.7,-1.6,4.3,1,-0.6,32.9,33.8,385.6,673.9,391.6,588.3,1371.6
112.7,74.21,61.3,3.5,0.02,11.88,17.76,21.21,4.79,4.88,4.88,0.29,0.26,0.16,0.27,837738,4.83,1.2,-0.7,0.7,4.1,1,0,32.5,33.8,391.5,676.6,409.6,605.3,1359.6
110.7,74.39,73.6,3.5,0.02,20.81,13.03,22.72,4.75,5.08,5.1,0.14,0.21,0.18,0.28,1017263,4.53,1,2.7,0.7,4.1,0.8,0,32.5,32.2,391,624.9,403.7,631.2,1419.7
98.6,74.75,77.4,3.5,0.03,17.89,13.49,23.75,4.62,4.97,4.98,0.02,0.11,0.15,0.25,1076310,4.24,1,2.7,0.7,4.1,0.8,0,32.5,32.2,370.1,553.8,387.5,578.5,1317.7
94.2,75.76,68.5,3.5,0.03,15.86,5.56,17.9,4.66,4.89,4.9,0.21,0.25,0.14,0.24,853220,4,1,2.7,-1.4,4.1,0.8,0.1,33.2,32.2,383.9,519.6,378.2,582.5,1295.2
93.4,78.11,88.5,3.5,0.04,16.9,7.52,16.71,4.82,4.71,4.71,0.21,0.16,0.14,0.24,902912,3.82,0.8,5.6,-1.4,4.1,1.7,0.1,33.2,34,408.8,580.2,380.2,641,1297.8
